"Command","Arg1","Arg2","Arg3","Arg4","Arg5","Arg6","Arg7","Arg8","Beat"
"StartMusic","175",,,,,,,,"0"
"Laser","Horizontal","0.29","0.5",,,,,,"0"
"Laser","Vertical","0.86","0.5",,,,,,"1"
"Laser","Horizontal","0.38","0.5",,,,,,"2"
"Laser","Vertical","0.57","0.5",,,,,,"3"
"Laser","Horizontal","0.36","0.5",,,,,,"4"
"Laser","Vertical","0.77","0.5",,,,,,"5"
"Laser","Horizontal","0.17","0.5",,,,,,"6"
"Laser","Vertical","0.3","0.5",,,,,,"7"
"Laser","Horizontal","0.86","0.5",,,,,,"8"
"Laser","Vertical","0.31","0.5",,,,,,"9"
"Laser","Horizontal","0.88","0.5",,,,,,"10"
"Laser","Vertical","0.5","0.5",,,,,,"11"
"Laser","Horizontal","0.19","0.5",,,,,,"12"
"Laser","Vertical","0.79","0.5",,,,,,"13"
"Laser","Horizontal","0.76","0.5",,,,,,"14"
"Laser","Vertical","0.3","0.5",,,,,,"15"
"Laser","Horizontal","0.9","0.5",,,,,,"16"
"Laser","Horizontal","0.29","0.5",,,,,,"17"
"Laser","Vertical","0.86","0.5",,,,,,"18"
"Laser","Horizontal","0.38","0.5",,,,,,"19"
"Laser","Vertical","0.57","0.5",,,,,,"20"
"Laser","Horizontal","0.36","0.5",,,,,,"21"
"Laser","Vertical","0.77","0.5",,,,,,"22"
"Laser","Horizontal","0.17","0.5",,,,,,"23"
"Laser","Vertical","0.3","0.5",,,,,,"24"
"Laser","Horizontal","0.86","0.5",,,,,,"25"
"Laser","Vertical","0.31","0.5",,,,,,"26"
"Laser","Horizontal","0.88","0.5",,,,,,"27"
"Laser","Vertical","0.5","0.5",,,,,,"28"
"Laser","Horizontal","0.19","0.5",,,,,,"29"
"Laser","Vertical","0.79","0.5",,,,,,"30"
"Laser","Horizontal","0.76","0.5",,,,,,"31"
"Laser","Vertical","0.3","0.5",,,,,,"32"
"Laser","Horizontal","0.9","0.5",,,,,,"33"
"Square","(150x150);(325,275)","0.5","1",,,"45;0",,,"0"
"Square","(150x150);(125,425)","0.5","1",,,"45;0",,,"2"
"Square","(150x150);(775,25)","0.5","1",,,"45;0",,,"4"
"Square","(150x150);(625,375)","0.5","1",,,"45;0",,,"6"
"Square","(150x150);(25,475)","0.5","1",,,"45;0",,,"8"
"Square","(150x150);(375,525)","0.5","1",,,"45;0",,,"10"
"Square","(150x150);(675,575)","0.5","1",,,"45;0",,,"12"
"Square","(150x150);(275,525)","0.5","1",,,"45;0",,,"14"
"Square","(150x150);(25,575)","0.5","1",,,"45;0",,,"16"
"Square","(150x150);(475,25)","0.5","1",,,"45;0",,,"18"
"Square","(150x150);(225,325)","0.5","1",,,"45;0",,,"20"
"Square","(150x150);(575,375)","0.5","1",,,"45;0",,,"22"
"Square","(150x150);(275,125)","0.5","1",,,"45;0",,,"24"
"Square","(150x150);(375,575)","0.5","1",,,"45;0",,,"26"
"Square","(150x150);(275,575)","0.5","1",,,"45;0",,,"28"
"Square","(150x150);(225,25)","0.5","1",,,"45;0",,,"30"
"Square","(150x150);(75,575)","0.5","1",,,"45;0",,,"32"
"Square","(150x150);(325,375)","0.5","1",,,"45;0",,,"34"
"Square","(150x150);(325,425)","0.5","1",,,"45;0",,,"36"
"Square","(150x150);(325,375)","0.5","1",,,"45;0",,,"38"
"Square","(150x150);(225,175)","0.5","1",,,"45;0",,,"40"
"Square","(150x150);(125,225)","0.5","1",,,"45;0",,,"42"
"Square","(150x150);(675,275)","0.5","1",,,"45;0",,,"44"
"Square","(150x150);(175,75)","0.5","1",,,"45;0",,,"46"
"Square","(150x150);(325,325)","0.5","1",,,"45;0",,,"48"
"Square","(150x150);(575,125)","0.5","1",,,"45;0",,,"50"
"Square","(150x150);(575,375)","0.5","1",,,"45;0",,,"52"
"Square","(150x150);(425,75)","0.5","1",,,"45;0",,,"54"
"Square","(150x150);(425,75)","0.5","1",,,"45;0",,,"56"
"Square","(150x150);(325,25)","0.5","1",,,"45;0",,,"58"
"Square","(150x150);(625,125)","0.5","1",,,"45;0",,,"60"
"Square","(150x150);(525,475)","0.5","1",,,"45;0",,,"62"
"Laser","Horizontal","0.29","0.5",,,,,,"34"
"Laser","Vertical","0.86","0.5",,,,,,"35"
"Laser","Horizontal","0.38","0.5",,,,,,"36"
"Laser","Vertical","0.57","0.5",,,,,,"37"
"Laser","Horizontal","0.36","0.5",,,,,,"38"
"Laser","Vertical","0.77","0.5",,,,,,"39"
"Laser","Horizontal","0.17","0.5",,,,,,"40"
"Laser","Vertical","0.3","0.5",,,,,,"41"
"Laser","Horizontal","0.86","0.5",,,,,,"42"
"Laser","Vertical","0.31","0.5",,,,,,"43"
"Laser","Horizontal","0.88","0.5",,,,,,"44"
"Laser","Vertical","0.5","0.5",,,,,,"45"
"Laser","Horizontal","0.19","0.5",,,,,,"46"
"Laser","Vertical","0.79","0.5",,,,,,"47"
"Laser","Horizontal","0.76","0.5",,,,,,"48"
"Laser","Vertical","0.3","0.5",,,,,,"49"
"Laser","Horizontal","0.9","0.5",,,,,,"50"
"Laser","Horizontal","0.29","0.5",,,,,,"51"
"Laser","Vertical","0.86","0.5",,,,,,"52"
"Laser","Horizontal","0.38","0.5",,,,,,"53"
"Laser","Vertical","0.57","0.5",,,,,,"54"
"Laser","Horizontal","0.36","0.5",,,,,,"55"
"Laser","Vertical","0.77","0.5",,,,,,"56"
"Laser","Horizontal","0.17","0.5",,,,,,"57"
"Laser","Vertical","0.3","0.5",,,,,,"58"
"Laser","Horizontal","0.86","0.5",,,,,,"59"
"Laser","Vertical","0.31","0.5",,,,,,"60"
"Laser","Horizontal","0.88","0.5",,,,,,"61"
"Laser","Vertical","0.5","0.5",,,,,,"62"
"BeatLevel",,,,,,,,,"64"
