"Command","Arg1","Arg2","Arg3","Arg4","Arg5","Arg6","Arg7","Arg8","Beat"
"StartMusic","199",,,,,,,,"0"
"BeatLevel",,,,,,,,,"80"
"Square","(100x100);(400,300)","0.5","1",,"True","45;0","32",,"26"
"Square","(50x50);(275,300)","0.5","1",,"True","45;0","32",,"27"
"Square","(50x50);(525,300)","0.5","1",,"True","45;0","32",,"27"
"Square","(50x50);(400,175)","0.5","1",,"True","45;0","32",,"27"
"Square","(50x50);(400,425)","0.5","1",,"True","45;0","32",,"27"
"Square","(25x25);(275,175)","0.5","1",,"True","45;5","32",,"28"
"Square","(25x25);(275,425)","0.5","1",,"True","45;5","32",,"28"
"Square","(25x25);(525,175)","0.5","1",,"True","45;5","32",,"28"
"Square","(25x25);(525,425)","0.5","1",,"True","45;5","32",,"28"
"Circle","(200);(400,300)","0.5","0.5",,,,,,"30"
"BigLaser","Up-Down","0.4375","1","100",,,,,"24"
"BigLaser","Down-Up","0.5625","1","100",,,,,"24"
"BigLaser","Left-Right","0.4375","1","100",,,,,"24"
"BigLaser","Right-Left","0.5625","1","100",,,,,"24"
"Square","(1000x10);(400,300)","0.5","1",,"True","90;1","60",,"32"
"Square","(100x100);(400,300)","0.5","1",,"True","45;-1","60",,"32"
"Laser","Horizontal","0.5","1",,,,,,"32"
"Laser","Vertical","0.5","1",,,,,,"32"
"Laser","rand","rand","1",,,,,,"33"
"Laser","rand","rand","1",,,,,,"34"
"Laser","rand","rand","1",,,,,,"35"
"Laser","rand","rand","1",,,,,,"36"
"Laser","rand","rand","1",,,,,,"37"
"Laser","rand","rand","1",,,,,,"38"
"Laser","rand","rand","1",,,,,,"39"
